CÓDIGO DE DEPARTAMENTO,NOMBRE DEL DEPARTAMENTO,CÓDIGO DE MUNICIPIO,NOMBRE DE MUNICIPIO,NOMBRE PARAMO,NOMBRE ÁREA PROTEGIDA,ÁREAS PROTEGIDAS DEL SISTEMA NACIONAL DE AREAS PROTEGIDAS,CATEGORÍA DE ÁREAS PROTEGIDAS (Decreto 2372/2010),ADMINISTRADOR,FECHA INICIO DE ADMINISTRACIÓN,ÁREA - HECTÁREAS,EJECUCIÓN DE PROYECTOS DE LA RAPE REGION CENTRAL
25,Cundinamarca,25377,LA CALERA,Cruz Verde - Sumapaz,Bosque Oriental De Bogota,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,09/30/1976 12:00:00 AM,5.34,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,Chinchorro,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/29/2015 12:00:00 AM,18.03,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,Rios Chorrera y Concepcion,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,04/12/1991 12:00:00 AM,1264.21,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,Colombia,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,34.16,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,Montebello,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,55.83,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,Chingaza,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/24/1968 12:00:00 AM,1593.9,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,El Desierto - El Patio Bonito,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,0.52,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,Marruecos,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,0.35,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,La Bolsa,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,07/25/1990 12:00:00 AM,2053.03,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25372,JUNIN,Chingaza,Bosque Pena Blanca,Areas Protegidas Privadas,Reserva Natural de la Sociedad Civil,Parques Nacionales Naturales - PNN,09/20/2013 12:00:00 AM,341.84,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
11,Cundinamarca,11001,BOGOTA,Cruz Verde - Sumapaz,Sumapaz,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,45361.77,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
11,Cundinamarca,11001,BOGOTA,Cruz Verde - Sumapaz,Bosque Oriental De Bogota,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,09/30/1976 12:00:00 AM,5409.23,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
11,Cundinamarca,11001,BOGOTA,Cruz Verde - Sumapaz,Futuras Generaciones de Sibate I y II,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,07/04/1997 12:00:00 AM,0.35,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
11,Cundinamarca,11001,BOGOTA,Cruz Verde - Sumapaz,Parque Ecologico De Los Andes,Areas Protegidas Privadas,Reserva Natural de la Sociedad Civil,Parques Nacionales Naturales - PNN,10/28/2004 12:00:00 AM,0.41,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
11,Cundinamarca,11001,BOGOTA,Cruz Verde - Sumapaz,Bosque Oriental De Bogota,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,09/30/1976 12:00:00 AM,203.54,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15226,CUITIVA,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,3.52,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15808,TINJACA,Iguaque Merchan,Paramos de Telecom y Merchan,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,04/07/1999 12:00:00 AM,0.16,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15759,SOGAMOSO,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,6835.01,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15550,PISVA,Pisba,Cuenca del Rio Cravo Sur,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,04/07/1986 12:00:00 AM,0.06,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15550,PISVA,Pisba,Pisba,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,1149.12,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15325,GUAYATA,Chingaza,Cuchilla San Cayetano,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,105.93,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15325,GUAYATA,Chingaza,Cuchilla San Cayetano,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,159.4,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15022,ALMEIDA,Chingaza,Cuchilla San Cayetano,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,35.77,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25817,TOCANCIPA,Chingaza,Cerros Pionono y las Aguilas,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,05/29/2009 12:00:00 AM,0.04,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25817,TOCANCIPA,Chingaza,Pionono,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,10/17/1998 12:00:00 AM,13.31,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25817,TOCANCIPA,Chingaza,El Carrisal,Areas Protegidas Privadas,Reserva Natural de la Sociedad Civil,Parques Nacionales Naturales - PNN,03/26/2013 12:00:00 AM,0.82,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15757,SOCHA,Pisba,Pisba,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,1003,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15047,AQUITANIA,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,17290.1,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15542,PESCA,Tota - Bijagual - Mamapacha,Cortadera,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/17/2015 12:00:00 AM,2383.56,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15542,PESCA,Tota - Bijagual - Mamapacha,Lago de Sochagota,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,07/31/1986 12:00:00 AM,1.03,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15814,TOCA,Tota - Bijagual - Mamapacha,Cortadera,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/17/2015 12:00:00 AM,4466.53,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15810,TIPACOQUE,Guantiva-La Rusia,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,7.96,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25754,SOACHA,Cruz Verde - Sumapaz,Futuras Generaciones de Sibate I y II,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,07/04/1997 12:00:00 AM,142.94,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15244,EL COCUY,Sierra Nevada del Cocuy,El Cocuy,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,4226.97,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15162,CERINZA,Guantiva-La Rusia,Pan de Azucar el Consuelo,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,01/27/2012 12:00:00 AM,1770.92,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15238,DUITAMA,Guantiva-La Rusia,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,1439.32,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15238,DUITAMA,Guantiva-La Rusia,Pan de Azucar el Consuelo,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,01/27/2012 12:00:00 AM,10.55,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15238,DUITAMA,Guantiva-La Rusia,Guanenta Alto Rio Fonce,Areas Protegidas Públicas,Santuario de Fauna y Flora,Parques Nacionales Naturales - PNN,11/18/1993 12:00:00 AM,25.56,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15238,DUITAMA,Guantiva-La Rusia,Las Lagunas Encantadas,Areas Protegidas Privadas,Reserva Natural de la Sociedad Civil,Parques Nacionales Naturales - PNN,12/17/2013 12:00:00 AM,186.07,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15223,CUBARA,Sierra Nevada del Cocuy,El Cocuy,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,4053.21,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15632,SABOYA,Iguaque Merchan,Paramos de Telecom y Merchan,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,04/07/1999 12:00:00 AM,1021.2,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15632,SABOYA,Iguaque Merchan,Paramos de Telecom y Merchan,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,04/07/1999 12:00:00 AM,678.88,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15696,SANTA SOFIA,Iguaque Merchan,Paramos de Telecom y Merchan,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,04/07/1999 12:00:00 AM,12.29,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15820,TOPAGA,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,32.23,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15204,COMBITA,Iguaque Merchan,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,82.18,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15204,COMBITA,Iguaque Merchan,El Valle,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/17/2015 12:00:00 AM,1949.26,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15087,BELEN,Guantiva-La Rusia,Pan de Azucar el Consuelo,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,01/27/2012 12:00:00 AM,2867.82,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15755,SOCOTA,Pisba,Pisba,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,23116.26,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
73,Tolima,73461,MURILLO,Los Nevados,Los Nevados,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,04/30/1974 12:00:00 AM,8955.67,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
73,Tolima,73461,MURILLO,Los Nevados,El Toro,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Tolima – CORTOLIMA,06/29/2011 12:00:00 AM,105.1,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
73,Tolima,73461,MURILLO,Los Nevados,Cerrobravo,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Tolima – CORTOLIMA,06/29/2011 12:00:00 AM,335.26,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15236,CHIVOR,Chingaza,Cuchilla San Cayetano,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,116.49,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25297,GACHETA,Chingaza,La Sabana de las Delicias,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,7.37,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25297,GACHETA,Chingaza,Cuchilla San Cayetano,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,0.02,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25297,GACHETA,Chingaza,Cuenca Alta de Los Rios Salinero y Moquentiva,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2009 12:00:00 AM,2237.04,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25297,GACHETA,Chingaza,Cuenca Alta del Rio Zaque,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2009 12:00:00 AM,299.01,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15051,ARCABUCO,Iguaque Merchan,Iguaque,Areas Protegidas Públicas,Santuario de Fauna y Flora,Parques Nacionales Naturales - PNN,06/01/1977 12:00:00 AM,1265.19,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15051,ARCABUCO,Iguaque Merchan,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,30.55,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15051,ARCABUCO,Iguaque Merchan,El Valle,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/17/2015 12:00:00 AM,328.48,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15839,TUTAZA,Guantiva-La Rusia,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,1.62,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15839,TUTAZA,Guantiva-La Rusia,Pan de Azucar el Consuelo,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,01/27/2012 12:00:00 AM,2466.61,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15720,SATIVANORTE,Guantiva-La Rusia,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,4.58,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15332,GUICAN,Sierra Nevada del Cocuy,El Cocuy,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,66741.42,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15180,CHISCAS,Sierra Nevada del Cocuy,El Cocuy,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,30204.09,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15183,CHITA,Pisba,Pisba,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,7.25,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15183,CHITA,Sierra Nevada del Cocuy,El Cocuy,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,76.24,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15296,GAMEZA,Pisba,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,10.4,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15296,GAMEZA,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,6.49,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15763,SOTAQUIRA,Iguaque Merchan,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,47.87,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15763,SOTAQUIRA,Iguaque Merchan,El Valle,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/17/2015 12:00:00 AM,5.67,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15763,SOTAQUIRA,Iguaque Merchan,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,117.92,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25769,SUBACHOQUE,Guerrero,Rio Subachoque y Pantano de Arce,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Cundinamarca – CAR,06/11/1997 12:00:00 AM,3449.33,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25769,SUBACHOQUE,Guerrero,Quebrada Paramillo y Queceros,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,09/17/1993 12:00:00 AM,69.3,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25769,SUBACHOQUE,Guerrero,Paramo de Guargua y Laguna Verde,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Cundinamarca – CAR,08/18/2009 12:00:00 AM,1.71,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25807,TIBIRITA,Rabanal y rio Bogota,"Paramo de Cristales, Castillejo o Gauchaneque",Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,12/20/2011 12:00:00 AM,0.3,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15299,GARAGOA,Tota - Bijagual - Mamapacha,Paramo Mamapacha y Bijagual,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,88.01,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25200,COGUA,Guerrero,Paramo de Guargua y Laguna Verde,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Cundinamarca – CAR,08/18/2009 12:00:00 AM,295.45,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25200,COGUA,Guerrero,Paramo de Guargua y Laguna Verde,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,08/18/2009 12:00:00 AM,0.01,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
