CÓDIGO DE DEPARTAMENTO,NOMBRE DEL DEPARTAMENTO,CÓDIGO DE MUNICIPIO,NOMBRE DE MUNICIPIO,NOMBRE PARAMO,NOMBRE ÁREA PROTEGIDA,ÁREAS PROTEGIDAS DEL SISTEMA NACIONAL DE AREAS PROTEGIDAS,CATEGORÍA DE ÁREAS PROTEGIDAS (Decreto 2372/2010),ADMINISTRADOR,FECHA INICIO DE ADMINISTRACIÓN,ÁREA - HECTÁREAS,EJECUCIÓN DE PROYECTOS DE LA RAPE REGION CENTRAL
15,Boyaca,15176,CHIQUINQUIRA,Iguaque Merchan,Paramos de Telecom y Merchan,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,04/07/1999 12:00:00 AM,0.06,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15176,CHIQUINQUIRA,Iguaque Merchan,Paramos de Telecom y Merchan,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,04/07/1999 12:00:00 AM,4.84,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15272,FIRAVITOBA,Tota - Bijagual - Mamapacha,Lago de Sochagota,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,07/31/1986 12:00:00 AM,374.82,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15837,TUTA,Tota - Bijagual - Mamapacha,Cortadera,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/17/2015 12:00:00 AM,432.57,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15837,TUTA,Tota - Bijagual - Mamapacha,Lago de Sochagota,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,07/31/1986 12:00:00 AM,22.43,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15466,MONGUI,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,4409.7,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25438,MEDINA,Chingaza,Chingaza,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/24/1968 12:00:00 AM,3577.3,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25279,FOMEQUE ,Chingaza,Rios Blanco y Negro,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,09/02/1982 12:00:00 AM,2888.24,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25279,FOMEQUE ,Chingaza,Colombia,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,0.02,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25279,FOMEQUE ,Chingaza,Montebello,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,5.17,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
